日期,點擊次數,展示次數,平均每次點擊成本,成本
2026年1月22日週四,20,"1,092",HK$0.51,HK$10.14
2026年1月23日週五,23,892,HK$2.34,HK$53.83
2026年1月24日週六,51,"3,013",HK$1.51,HK$77.18
2026年1月25日週日,49,"2,117",HK$1.76,HK$86.46
2026年1月26日週一,21,546,HK$1.72,HK$36.20
2026年1月27日週二,51,"1,488",HK$1.53,HK$78.16
2026年1月28日週三,20,"1,175",HK$2.39,HK$47.77
2026年1月29日週四,15,709,HK$2.38,HK$35.65
2026年1月30日週五,4,92,HK$0.68,HK$2.74
2026年1月31日週六,36,424,HK$0.81,HK$29.05
2026年2月1日週日,15,195,HK$0.58,HK$8.75
2026年2月2日週一,19,223,HK$1.10,HK$20.98
2026年2月3日週二,6,219,HK$1.88,HK$11.25
2026年2月4日週三,35,"1,455",HK$2.29,HK$80.09
2026年2月5日週四,46,"1,369",HK$1.95,HK$89.49
2026年2月6日週五,65,"1,188",HK$1.27,HK$82.23
2026年2月7日週六,12,133,HK$4.53,HK$54.41
2026年2月8日週日,2,15,HK$1.55,HK$3.10
2026年2月9日週一,1,"1,165",HK$23.27,HK$23.27
2026年2月10日週二,39,"1,061",HK$2.21,HK$86.12
2026年2月11日週三,32,"1,166",HK$1.60,HK$51.20
2026年2月12日週四,44,"1,769",HK$0.60,HK$26.50
2026年2月13日週五,31,"1,484",HK$1.19,HK$36.89
2026年2月14日週六,26,589,HK$1.54,HK$40.15
2026年2月15日週日,48,"1,535",HK$1.02,HK$48.81
2026年2月16日週一,24,"1,042",HK$1.39,HK$33.46
2026年2月17日週二,27,"1,869",HK$1.25,HK$33.73
2026年2月18日週三,23,"2,695",HK$2.66,HK$61.10
2026年2月19日週四,17,"2,141",HK$2.56,HK$43.59
2026年2月20日週五,21,"1,779",HK$1.61,HK$33.87
2026年2月21日週六,58,"3,941",HK$1.02,HK$59.22
2026年2月22日週日,26,"3,824",HK$1.61,HK$41.93
