日期,展示次數,成本,點擊次數
2026年1月22日週四,"1,092",HK$10.14,20
2026年1月23日週五,892,HK$53.83,23
2026年1月24日週六,"3,013",HK$77.18,51
2026年1月25日週日,"2,117",HK$86.46,49
2026年1月26日週一,546,HK$36.20,21
2026年1月27日週二,"1,488",HK$78.16,51
2026年1月28日週三,"1,175",HK$47.77,20
2026年1月29日週四,709,HK$35.65,15
2026年1月30日週五,92,HK$2.74,4
2026年1月31日週六,424,HK$29.05,36
2026年2月1日週日,195,HK$8.75,15
2026年2月2日週一,223,HK$20.98,19
2026年2月3日週二,219,HK$11.25,6
2026年2月4日週三,"1,455",HK$80.09,35
2026年2月5日週四,"1,369",HK$89.49,46
2026年2月6日週五,"1,188",HK$82.23,65
2026年2月7日週六,133,HK$54.41,12
2026年2月8日週日,15,HK$3.10,2
2026年2月9日週一,"1,165",HK$23.27,1
2026年2月10日週二,"1,061",HK$86.12,39
2026年2月11日週三,"1,166",HK$51.20,32
2026年2月12日週四,"1,769",HK$26.50,44
2026年2月13日週五,"1,484",HK$36.89,31
2026年2月14日週六,589,HK$40.15,26
2026年2月15日週日,"1,535",HK$48.81,48
2026年2月16日週一,"1,042",HK$33.46,24
2026年2月17日週二,"1,869",HK$33.73,27
2026年2月18日週三,"2,695",HK$61.10,23
2026年2月19日週四,"2,141",HK$43.59,17
2026年2月20日週五,"1,779",HK$33.87,21
2026年2月21日週六,"3,941",HK$59.22,58
2026年2月22日週日,"3,824",HK$41.93,26
